mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator__ccp_alpha,param_clf__estimator__max_depth,param_clf__estimator__min_samples_leaf,param_clf__estimator__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.027080249786376954,0.0035263801383153747,0.004191112518310547,0.001673416431830885,0.0,,1,2,"{'clf__estimator__ccp_alpha': 0.0, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__estimator__min_samples_split': 2}",0.9863261093911249,0.9729102167182663,0.957688338493292,0.9104747162022704,0.9894220846233229,0.9633642930856553,0.028729434276728683,41
0.028939151763916017,0.006148308360339079,0.0034815311431884766,0.00020027515998594138,0.0,,1,5,"{'clf__estimator__ccp_alpha': 0.0, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__estimator__min_samples_split': 5}",0.9863261093911249,0.9762641898864809,0.9499484004127967,0.9050567595459237,0.9917440660474717,0.9618679050567597,0.03183589991476226,54
0.02982168197631836,0.0031739995317241402,0.0036210060119628907,0.00017082218508359976,0.0,,1,10,"{'clf__estimator__ccp_alpha': 0.0, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 1, 'clf__estimator__min_samples_split': 10}",0.9943240454076367,0.9767801857585139,0.954592363261094,0.9164086687306502,0.9938080495356036,0.9671826625386997,0.02923762107917651,26
0.030002069473266602,0.005990530450247489,0.0034709930419921874,0.0002734573840118442,0.0,,2,2,"{'clf__estimator__ccp_alpha': 0.0, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 2, 'clf__estimator__min_samples_split': 2}",0.9948400412796697,0.9757481940144479,0.957688338493292,0.8918988648090815,0.9912280701754386,0.962280701754386,0.037560955389124365,48
0.027545595169067384,0.00409079664804562,0.005741024017333984,0.0032104135138394567,0.0,,2,5,"{'clf__estimator__ccp_alpha': 0.0, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 2, 'clf__estimator__min_samples_split': 5}",0.986842105263158,0.9760061919504643,0.958204334365325,0.8918988648090815,0.9912280701754386,0.9608359133126936,0.03630257411431672,58
0.03461203575134277,0.0051527680685491154,0.004604482650756836,0.002101997677755869,0.0,,2,10,"{'clf__estimator__ccp_alpha': 0.0, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 2, 'clf__estimator__min_samples_split': 10}",0.9925180598555212,0.9690402476780187,0.957688338493292,0.9151186790505677,0.9927760577915377,0.9654282765737875,0.028585891889116564,34
0.029089641571044923,0.002982812170653877,0.004179143905639648,0.0015364021825206885,0.0,,5,2,"{'clf__estimator__ccp_alpha': 0.0, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 5, 'clf__estimator__min_samples_split': 2}",0.9943240454076367,0.9742002063983488,0.9703302373581011,0.9267285861713105,0.9920020639834881,0.9715170278637771,0.024308061140551777,1
0.030121707916259767,0.004982678530659341,0.005051994323730468,0.0031653327849282364,0.0,,5,5,"{'clf__estimator__ccp_alpha': 0.0, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 5, 'clf__estimator__min_samples_split': 5}",0.9943240454076367,0.9742002063983488,0.9703302373581011,0.9267285861713105,0.9920020639834881,0.9715170278637771,0.024308061140551777,1
0.029446935653686522,0.0015278050707850208,0.003963327407836914,0.0004054010124282955,0.0,,5,10,"{'clf__estimator__ccp_alpha': 0.0, 'clf__estimator__max_depth': None, 'clf__estimator__min_samples_leaf': 5, 'clf__estimator__min_samples_split': 10}",0.9943240454076367,0.9742002063983488,0.9703302373581011,0.9267285861713105,0.9920020639834881,0.9715170278637771,0.024308061140551777,1
0.030194187164306642,0.0033678206283411036,0.0044634342193603516,0.001828682935490917,0.0,5,1,2,"{'clf__estimator__ccp_alpha': 0.0, 'clf__estimator__max_depth': 5, 'clf__estimator__min_samples_leaf': 1, 'clf__estimator__min_samples_split': 2}",0.976264189886481,0.9767801857585141,0.9458204334365325,0.9099587203302374,0.9852941176470588,0.9588235294117646,0.027871707009034404,70
0.029399728775024413,0.0030565269599651715,0.005093812942504883,0.001890384556693379,0.0,5,1,5,"{'clf__estimator__ccp_alpha': 0.0, 'clf__estimator__max_depth': 5, 'clf__estimator__min_samples_leaf': 1, 'clf__estimator__min_samples_split': 5}",0.97781217750258,0.9780701754385965,0.9427244582043344,0.9050567595459237,0.9917440660474716,0.9590815273477812,0.03151024180438855,69
0.03093581199645996,0.005576779607206186,0.004513692855834961,0.0022539937694882476,0.0,5,1,10,"{'clf__estimator__ccp_alpha': 0.0, 'clf__estimator__max_depth': 5, 'clf__estimator__min_samples_leaf': 1, 'clf__estimator__min_samples_split': 10}",0.9943240454076367,0.977296181630547,0.955108359133127,0.9164086687306502,0.9938080495356039,0.967389060887513,0.029228148808133618,25
0.030457210540771485,0.0026120128356105395,0.003544187545776367,0.00033941684928288934,0.0,5,2,2,"{'clf__estimator__ccp_alpha': 0.0, 'clf__estimator__max_depth': 5, 'clf__estimator__min_samples_leaf': 2, 'clf__estimator__min_samples_split': 2}",0.9865841073271414,0.975748194014448,0.9592363261093911,0.8918988648090815,0.9907120743034056,0.9608359133126936,0.0361463855506656,58
