mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.4018820285797119,0.024364472844519633,0.07765569686889648,0.013833236864456463,,sqrt,2,300,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_split': 2, 'clf__n_estimators': 300}",0.9847781217750258,0.9827141382868937,0.990454076367389,0.9711042311661506,0.9801341589267286,0.9818369453044375,0.006352410070799748,2
0.4399374485015869,0.08125317176322515,0.0709228515625,0.005735876360223779,,sqrt,5,300,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_split': 5, 'clf__n_estimators': 300}",0.9824561403508772,0.9819401444788443,0.9901960784313725,0.9705882352941176,0.9762641898864809,0.9802889576883386,0.006570797679971756,11
0.5527276515960693,0.07082378335577685,0.07802915573120117,0.020807423368315772,,0.5,2,300,"{'clf__max_depth': None, 'clf__max_features': 0.5, 'clf__min_samples_split': 2, 'clf__n_estimators': 300}",0.9832301341589267,0.9803921568627451,0.9891640866873066,0.9791021671826626,0.9770381836945305,0.9817853457172344,0.004200219076360932,4
0.5976920127868652,0.09233191394935518,0.10230326652526855,0.06080117561616878,,0.5,5,300,"{'clf__max_depth': None, 'clf__max_features': 0.5, 'clf__min_samples_split': 5, 'clf__n_estimators': 300}",0.9803921568627451,0.9798761609907121,0.9891640866873065,0.9791021671826626,0.9767801857585139,0.981062951496388,0.00423494004719983,7
0.5481688022613526,0.09974977657048703,0.11106009483337402,0.03496444913516106,8,sqrt,2,300,"{'clf__max_depth': 8, 'clf__max_features': 'sqrt', 'clf__min_samples_split': 2, 'clf__n_estimators': 300}",0.9855521155830753,0.9834881320949432,0.9907120743034056,0.9708462332301341,0.9801341589267286,0.9821465428276573,0.006610791223161854,1
0.43910946846008303,0.03517943589486659,0.11269326210021972,0.04230228416353159,8,sqrt,5,300,"{'clf__max_depth': 8, 'clf__max_features': 'sqrt', 'clf__min_samples_split': 5, 'clf__n_estimators': 300}",0.9824561403508771,0.9824561403508772,0.9901960784313726,0.9703302373581012,0.9762641898864809,0.9803405572755418,0.006676914806861422,10
0.5443262577056884,0.040627742481428565,0.11388230323791504,0.026370163860519248,8,0.5,2,300,"{'clf__max_depth': 8, 'clf__max_features': 0.5, 'clf__min_samples_split': 2, 'clf__n_estimators': 300}",0.9832301341589267,0.9803921568627452,0.9891640866873065,0.9791021671826626,0.9770381836945305,0.9817853457172344,0.004200219076360885,4
0.5035038471221924,0.03495917560394565,0.07177314758300782,0.015023449066531079,8,0.5,5,300,"{'clf__max_depth': 8, 'clf__max_features': 0.5, 'clf__min_samples_split': 5, 'clf__n_estimators': 300}",0.9803921568627451,0.9798761609907121,0.9886480908152735,0.9791021671826626,0.9767801857585139,0.9809597523219814,0.00403797678978615,9
0.5288890838623047,0.025619823617489716,0.09650802612304688,0.028926701546045073,12,sqrt,2,300,"{'clf__max_depth': 12, 'clf__max_features': 'sqrt', 'clf__min_samples_split': 2, 'clf__n_estimators': 300}",0.9847781217750258,0.9827141382868937,0.990454076367389,0.9711042311661506,0.9801341589267286,0.9818369453044375,0.006352410070799748,2
0.45355777740478515,0.037109073223728355,0.09228525161743165,0.009920377626446542,12,sqrt,5,300,"{'clf__max_depth': 12, 'clf__max_features': 'sqrt', 'clf__min_samples_split': 5, 'clf__n_estimators': 300}",0.9824561403508772,0.9819401444788443,0.9901960784313725,0.9705882352941176,0.9762641898864809,0.9802889576883386,0.006570797679971756,11
0.5768095493316651,0.08385899480215085,0.08999128341674804,0.06730652344213982,12,0.5,2,300,"{'clf__max_depth': 12, 'clf__max_features': 0.5, 'clf__min_samples_split': 2, 'clf__n_estimators': 300}",0.9832301341589267,0.9803921568627451,0.9891640866873066,0.9791021671826626,0.9770381836945305,0.9817853457172344,0.004200219076360932,4
0.5307178020477294,0.030001231523947722,0.02913494110107422,0.011360720754695026,12,0.5,5,300,"{'clf__max_depth': 12, 'clf__max_features': 0.5, 'clf__min_samples_split': 5, 'clf__n_estimators': 300}",0.9803921568627451,0.9798761609907121,0.9891640866873065,0.9791021671826626,0.9767801857585139,0.981062951496388,0.00423494004719983,7
